Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 10, 2023","33,705.68","33,958.36","33,705.68","33,944.40","33,944.40","299,200,000"
"Jul 07, 2023","33,837.07","34,036.38","33,716.75","33,734.88","33,734.88","272,730,000"
"Jul 06, 2023","34,171.39","34,171.39","33,771.47","33,922.26","33,922.26","293,840,000"
"Jul 05, 2023","34,344.72","34,376.11","34,226.98","34,288.64","34,288.64","274,570,000"
"Jul 03, 2023","34,369.78","34,465.60","34,286.54","34,418.47","34,418.47","157,590,000"
"Jun 30, 2023","34,269.92","34,467.35","34,269.92","34,407.60","34,407.60","351,060,000"
"Jun 29, 2023","33,854.57","34,147.68","33,828.63","34,122.42","34,122.42","279,940,000"
"Jun 28, 2023","33,881.38","33,903.76","33,755.92","33,852.66","33,852.66","268,050,000"
"Jun 27, 2023","33,739.03","33,975.65","33,730.39","33,926.74","33,926.74","293,210,000"
"Jun 26, 2023","33,730.79","33,819.49","33,610.32","33,714.71","33,714.71","265,330,000"
"Jun 23, 2023","33,835.66","33,835.66","33,646.49","33,727.43","33,727.43","379,800,000"
"Jun 22, 2023","33,900.47","34,003.56","33,835.39","33,946.71","33,946.71","275,600,000"
"Jun 21, 2023","33,990.56","34,097.93","33,876.17","33,951.52","33,951.52","323,690,000"
"Jun 20, 2023","34,206.66","34,206.66","33,915.93","34,053.87","34,053.87","334,810,000"
"Jun 16, 2023","34,464.02","34,588.68","34,285.69","34,299.12","34,299.12","595,230,000"
"Jun 15, 2023","33,945.98","34,488.98","33,945.98","34,408.06","34,408.06","361,400,000"
"Jun 14, 2023","34,044.70","34,151.42","33,783.55","33,979.33","33,979.33","354,910,000"
"Jun 13, 2023","34,111.08","34,310.28","34,107.98","34,212.12","34,212.12","308,790,000"
"Jun 12, 2023","33,906.80","34,077.84","33,878.46","34,066.33","34,066.33","308,130,000"
"Jun 09, 2023","33,852.44","33,975.32","33,787.16","33,876.78","33,876.78","262,310,000"
"Jun 08, 2023","33,656.98","33,873.81","33,630.04","33,833.61","33,833.61","269,160,000"
"Jun 07, 2023","33,562.47","33,708.78","33,546.11","33,665.02","33,665.02","347,400,000"
"Jun 06, 2023","33,547.67","33,631.25","33,399.69","33,573.28","33,573.28","294,070,000"
"Jun 05, 2023","33,771.13","33,804.22","33,552.79","33,562.86","33,562.86","367,170,000"
"Jun 02, 2023","33,187.58","33,805.00","33,187.58","33,762.76","33,762.76","383,590,000"
"Jun 01, 2023","32,929.85","33,167.75","32,704.51","33,061.57","33,061.57","349,460,000"
"May 31, 2023","32,948.71","32,984.83","32,739.73","32,908.27","32,908.27","689,990,000"
"May 30, 2023","33,103.65","33,132.70","32,893.97","33,042.78","33,042.78","322,700,000"
"May 26, 2023","32,795.50","33,162.06","32,795.50","33,093.34","33,093.34","330,290,000"
"May 25, 2023","32,854.26","32,870.43","32,586.56","32,764.65","32,764.65","364,670,000"
"May 24, 2023","33,021.76","33,031.75","32,752.44","32,799.92","32,799.92","246,180,000"
"May 23, 2023","33,190.60","33,310.17","33,013.29","33,055.51","33,055.51","291,550,000"
"May 22, 2023","33,408.54","33,512.30","33,207.85","33,286.58","33,286.58","268,900,000"
"May 19, 2023","33,582.95","33,652.90","33,336.66","33,426.63","33,426.63","315,210,000"
"May 18, 2023","33,374.56","33,579.91","33,212.09","33,535.91","33,535.91","333,070,000"
"May 17, 2023","33,092.48","33,472.38","33,050.41","33,420.77","33,420.77","307,130,000"
"May 16, 2023","33,275.37","33,290.85","33,006.19","33,012.14","33,012.14","246,680,000"
"May 15, 2023","33,321.21","33,400.30","33,161.93","33,348.60","33,348.60","224,020,000"
"May 12, 2023","33,370.58","33,406.40","33,110.61","33,300.62","33,300.62","227,570,000"
"May 11, 2023","33,383.89","33,389.88","33,127.70","33,309.51","33,309.51","298,000,000"
"May 10, 2023","33,707.20","33,772.09","33,239.45","33,531.33","33,531.33","271,180,000"
"May 09, 2023","33,589.85","33,656.40","33,509.72","33,561.81","33,561.81","232,940,000"
"May 08, 2023","33,715.15","33,747.49","33,509.23","33,618.69","33,618.69","225,680,000"
"May 05, 2023","33,248.55","33,748.43","33,248.55","33,674.38","33,674.38","316,350,000"
"May 04, 2023","33,347.78","33,354.86","32,937.50","33,127.74","33,127.74","305,160,000"
"May 03, 2023","33,726.64","33,811.84","33,396.05","33,414.24","33,414.24","286,900,000"
"May 02, 2023","34,017.62","34,017.75","33,436.66","33,684.53","33,684.53","274,460,000"
"May 01, 2023","34,116.81","34,257.83","34,030.14","34,051.70","34,051.70","244,190,000"
"Apr 28, 2023","33,797.43","34,104.56","33,728.40","34,098.16","34,098.16","354,310,000"
"Apr 27, 2023","33,381.66","33,859.75","33,374.65","33,826.16","33,826.16","343,240,000"
"Apr 26, 2023","33,596.34","33,645.83","33,235.85","33,301.87","33,301.87","321,170,000"
"Apr 25, 2023","33,828.34","33,875.49","33,525.39","33,530.83","33,530.83","297,880,000"
"Apr 24, 2023","33,805.04","33,891.15","33,726.09","33,875.40","33,875.40","252,020,000"
"Apr 21, 2023","33,793.60","33,858.83","33,688.57","33,808.96","33,808.96","291,080,000"
"Apr 20, 2023","33,740.60","33,875.39","33,677.74","33,786.62","33,786.62","307,910,000"
"Apr 19, 2023","33,889.83","33,957.98","33,814.65","33,897.01","33,897.01","251,490,000"
"Apr 18, 2023","33,965.16","34,018.62","33,791.89","33,976.63","33,976.63","253,570,000"
"Apr 17, 2023","33,930.46","33,991.23","33,796.91","33,987.18","33,987.18","234,530,000"
"Apr 14, 2023","33,981.71","34,082.94","33,730.85","33,886.47","33,886.47","276,720,000"
"Apr 13, 2023","33,668.97","34,054.99","33,605.17","34,029.69","34,029.69","277,230,000"
"Apr 12, 2023","33,764.21","33,895.43","33,593.32","33,646.50","33,646.50","260,300,000"
"Apr 11, 2023","33,586.75","33,781.29","33,586.75","33,684.79","33,684.79","241,430,000"
"Apr 10, 2023","33,425.25","33,590.24","33,343.43","33,586.52","33,586.52","232,920,000"
"Apr 06, 2023","33,420.96","33,525.96","33,325.37","33,485.29","33,485.29","258,680,000"
"Apr 05, 2023","33,394.60","33,543.84","33,376.27","33,482.72","33,482.72","286,660,000"
"Apr 04, 2023","33,594.79","33,634.72","33,275.62","33,402.38","33,402.38","283,360,000"
"Apr 03, 2023","33,245.78","33,632.90","33,245.78","33,601.15","33,601.15","311,890,000"
"Mar 31, 2023","32,901.96","33,291.00","32,901.96","33,274.15","33,274.15","353,740,000"
"Mar 30, 2023","32,807.43","32,905.80","32,682.87","32,859.03","32,859.03","283,380,000"
"Mar 29, 2023","32,566.54","32,728.04","32,539.94","32,717.60","32,717.60","314,110,000"
"Mar 28, 2023","32,434.85","32,551.01","32,295.50","32,394.25","32,394.25","248,560,000"
"Mar 27, 2023","32,276.72","32,564.00","32,276.72","32,432.08","32,432.08","291,560,000"
"Mar 24, 2023","32,038.22","32,257.24","31,805.18","32,237.53","32,237.53","317,070,000"
"Mar 23, 2023","32,101.49","32,511.49","31,864.74","32,105.25","32,105.25","335,430,000"
"Mar 22, 2023","32,570.19","32,761.89","32,020.46","32,030.11","32,030.11","325,990,000"
"Mar 21, 2023","32,420.71","32,593.68","32,346.12","32,560.60","32,560.60","363,190,000"
"Mar 20, 2023","31,872.33","32,280.07","31,872.33","32,244.58","32,244.58","357,210,000"
"Mar 17, 2023","32,217.32","32,217.32","31,728.70","31,861.98","31,861.98","712,100,000"
"Mar 16, 2023","31,827.65","32,281.61","31,571.46","32,246.55","32,246.55","440,940,000"
"Mar 15, 2023","31,759.87","31,906.47","31,429.82","31,874.57","31,874.57","420,910,000"
"Mar 14, 2023","32,055.29","32,306.59","31,805.40","32,155.40","32,155.40","391,760,000"
"Mar 13, 2023","31,819.93","32,240.35","31,624.87","31,819.14","31,819.14","429,090,000"
"Mar 10, 2023","32,185.14","32,422.10","31,783.41","31,909.64","31,909.64","397,790,000"
"Mar 09, 2023","32,876.83","32,990.46","32,190.60","32,254.86","32,254.86","315,860,000"
"Mar 08, 2023","32,872.08","32,903.44","32,612.70","32,798.40","32,798.40","242,750,000"
"Mar 07, 2023","33,428.31","33,453.25","32,838.21","32,856.46","32,856.46","299,400,000"
"Mar 06, 2023","33,425.32","33,572.22","33,383.47","33,431.44","33,431.44","329,190,000"
"Mar 03, 2023","33,076.33","33,405.82","33,008.41","33,390.97","33,390.97","300,050,000"
"Mar 02, 2023","32,780.97","33,083.45","32,665.85","33,003.57","33,003.57","317,450,000"
"Mar 01, 2023","32,656.37","32,746.15","32,500.71","32,661.84","32,661.84","292,810,000"
"Feb 28, 2023","32,873.47","32,873.47","32,636.43","32,656.70","32,656.70","303,760,000"
"Feb 27, 2023","32,906.16","33,189.28","32,814.18","32,889.09","32,889.09","243,660,000"
"Feb 24, 2023","32,999.19","32,999.19","32,643.48","32,816.92","32,816.92","277,120,000"
"Feb 23, 2023","33,175.39","33,272.40","32,795.67","33,153.91","33,153.91","288,120,000"
"Feb 22, 2023","33,169.33","33,245.97","32,948.27","33,045.09","33,045.09","321,910,000"
"Feb 21, 2023","33,699.69","33,699.69","33,115.74","33,129.59","33,129.59","348,320,000"
"Feb 17, 2023","33,677.01","33,846.64","33,517.73","33,826.69","33,826.69","302,900,000"
"Feb 16, 2023","33,992.09","34,041.16","33,686.59","33,696.85","33,696.85","317,530,000"
"Feb 15, 2023","34,008.63","34,130.49","33,833.10","34,128.05","34,128.05","267,530,000"
"Feb 14, 2023","34,194.09","34,331.47","33,827.45","34,089.27","34,089.27","288,820,000"
"Feb 13, 2023","33,887.39","34,249.60","33,887.39","34,245.93","34,245.93","302,600,000"
"Feb 10, 2023","33,671.54","33,897.31","33,591.99","33,869.27","33,869.27","288,150,000"
"Feb 09, 2023","34,105.61","34,252.57","33,607.13","33,699.88","33,699.88","347,520,000"
"Feb 08, 2023","34,132.90","34,161.65","33,899.79","33,949.01","33,949.01","324,090,000"
"Feb 07, 2023","33,769.78","34,240.00","33,634.10","34,156.69","34,156.69","361,620,000"
"Feb 06, 2023","33,874.44","33,962.84","33,683.58","33,891.02","33,891.02","296,400,000"
"Feb 03, 2023","33,926.30","34,179.58","33,813.86","33,926.01","33,926.01","425,150,000"
"Feb 02, 2023","34,129.30","34,145.14","33,814.78","34,053.94","34,053.94","429,910,000"
"Feb 01, 2023","34,039.60","34,334.70","33,581.42","34,092.96","34,092.96","370,120,000"
"Jan 31, 2023","33,803.56","34,095.23","33,664.91","34,086.04","34,086.04","360,240,000"
"Jan 30, 2023","33,909.21","34,055.29","33,695.18","33,717.09","33,717.09","343,920,000"
"Jan 27, 2023","33,952.93","34,164.33","33,830.85","33,978.08","33,978.08","441,260,000"
"Jan 26, 2023","33,771.66","33,953.79","33,635.60","33,949.41","33,949.41","327,000,000"
"Jan 25, 2023","33,538.36","33,773.09","33,273.21","33,743.84","33,743.84","341,720,000"
"Jan 24, 2023","33,444.72","33,782.92","33,310.56","33,733.96","33,733.96","299,310,000"
"Jan 23, 2023","33,439.56","33,782.88","33,316.25","33,629.56","33,629.56","355,220,000"
"Jan 20, 2023","33,073.46","33,381.95","32,948.93","33,375.49","33,375.49","367,330,000"
"Jan 19, 2023","33,171.35","33,227.49","32,982.05","33,044.56","33,044.56","319,770,000"
"Jan 18, 2023","33,948.49","34,016.53","33,269.90","33,296.96","33,296.96","351,670,000"
"Jan 17, 2023","34,222.32","34,269.97","33,860.67","33,910.85","33,910.85","353,050,000"
"Jan 13, 2023","34,075.31","34,342.32","33,915.49","34,302.61","34,302.61","274,110,000"
"Jan 12, 2023","34,047.86","34,292.67","33,792.10","34,189.97","34,189.97","308,190,000"
"Jan 11, 2023","33,754.03","33,974.69","33,711.04","33,973.01","33,973.01","301,650,000"
"Jan 10, 2023","33,516.43","33,726.54","33,421.80","33,704.10","33,704.10","268,260,000"
"Jan 09, 2023","33,664.39","33,935.11","33,487.66","33,517.65","33,517.65","327,840,000"
"Jan 06, 2023","33,055.30","33,710.66","32,997.39","33,630.61","33,630.61","360,740,000"
"Jan 05, 2023","33,191.72","33,191.72","32,812.33","32,930.08","32,930.08","337,920,000"
"Jan 04, 2023","33,165.14","33,409.10","33,033.48","33,269.77","33,269.77","379,400,000"
"Jan 03, 2023","33,148.90","33,387.52","32,850.57","33,136.37","33,136.37","355,930,000"
"Dec 30, 2022","33,121.61","33,152.55","32,847.82","33,147.25","33,147.25","295,500,000"
"Dec 29, 2022","33,021.43","33,293.42","33,020.35","33,220.80","33,220.80","243,060,000"
"Dec 28, 2022","33,264.76","33,379.55","32,869.15","32,875.71","32,875.71","252,260,000"
"Dec 27, 2022","33,224.23","33,387.72","33,069.58","33,241.56","33,241.56","246,010,000"
"Dec 23, 2022","32,961.06","33,226.14","32,814.02","33,203.93","33,203.93","221,050,000"
"Dec 22, 2022","33,233.35","33,233.35","32,573.43","33,027.49","33,027.49","340,640,000"
"Dec 21, 2022","33,028.09","33,437.84","33,028.09","33,376.48","33,376.48","328,020,000"
"Dec 20, 2022","32,735.24","32,992.23","32,649.45","32,849.74","32,849.74","303,970,000"
"Dec 19, 2022","32,921.45","33,038.94","32,581.97","32,757.54","32,757.54","326,430,000"
"Dec 16, 2022","33,166.46","33,166.46","32,654.59","32,920.46","32,920.46","756,310,000"
"Dec 15, 2022","33,773.00","33,773.00","33,016.16","33,202.22","33,202.22","394,290,000"
"Dec 14, 2022","34,086.07","34,395.65","33,704.17","33,966.35","33,966.35","339,090,000"
"Dec 13, 2022","34,268.44","34,712.28","33,890.88","34,108.64","34,108.64","442,650,000"
"Dec 12, 2022","33,519.50","34,005.04","33,519.50","34,005.04","34,005.04","313,440,000"
"Dec 09, 2022","33,746.71","33,844.63","33,462.65","33,476.46","33,476.46","287,630,000"
"Dec 08, 2022","33,695.97","33,899.17","33,642.46","33,781.48","33,781.48","271,830,000"
"Dec 07, 2022","33,556.40","33,774.27","33,503.67","33,597.92","33,597.92","359,980,000"
"Dec 06, 2022","33,936.87","34,006.63","33,418.59","33,596.34","33,596.34","306,220,000"
"Dec 05, 2022","34,335.73","34,335.73","33,846.81","33,947.10","33,947.10","312,960,000"
"Dec 02, 2022","34,265.45","34,483.21","34,039.73","34,429.88","34,429.88","290,580,000"
"Dec 01, 2022","34,533.59","34,595.51","34,129.35","34,395.01","34,395.01","348,720,000"
"Nov 30, 2022","33,795.43","34,589.77","33,583.77","34,589.77","34,589.77","524,440,000"
"Nov 29, 2022","33,847.80","33,933.91","33,662.45","33,852.53","33,852.53","279,750,000"
"Nov 28, 2022","34,275.91","34,303.88","33,799.35","33,849.46","33,849.46","300,330,000"
"Nov 25, 2022","34,213.04","34,386.51","34,199.57","34,347.03","34,347.03","131,660,000"
"Nov 23, 2022","34,091.57","34,262.07","34,004.64","34,194.06","34,194.06","236,820,000"
"Nov 22, 2022","33,810.05","34,115.70","33,810.05","34,098.10","34,098.10","277,070,000"
"Nov 21, 2022","33,760.30","33,864.59","33,559.18","33,700.28","33,700.28","352,960,000"
"Nov 18, 2022","33,606.59","33,827.94","33,540.64","33,745.69","33,745.69","312,950,000"
"Nov 17, 2022","33,329.27","33,616.02","33,239.75","33,546.32","33,546.32","319,210,000"
"Nov 16, 2022","33,554.93","33,682.83","33,516.99","33,553.83","33,553.83","301,560,000"
"Nov 15, 2022","33,755.94","33,987.06","33,320.20","33,592.92","33,592.92","390,610,000"
"Nov 14, 2022","33,662.05","33,964.30","33,533.96","33,536.70","33,536.70","354,340,000"
"Nov 11, 2022","33,797.75","33,817.96","33,394.43","33,747.86","33,747.86","427,790,000"
"Nov 10, 2022","33,263.91","33,727.73","33,167.82","33,715.37","33,715.37","480,130,000"
"Nov 09, 2022","33,004.47","33,065.11","32,478.87","32,513.94","32,513.94","355,200,000"
"Nov 08, 2022","32,934.56","33,355.39","32,831.46","33,160.83","33,160.83","335,340,000"
"Nov 07, 2022","32,454.10","32,895.59","32,424.99","32,827.00","32,827.00","336,300,000"
"Nov 04, 2022","32,265.01","32,611.52","31,938.92","32,403.22","32,403.22","422,370,000"
"Nov 03, 2022","31,985.05","32,185.71","31,727.05","32,001.25","32,001.25","354,440,000"
"Nov 02, 2022","32,576.28","33,071.93","32,139.77","32,147.76","32,147.76","398,430,000"
"Nov 01, 2022","32,862.79","32,975.48","32,485.23","32,653.20","32,653.20","323,210,000"
"Oct 31, 2022","32,754.27","32,883.86","32,586.93","32,732.95","32,732.95","390,890,000"
"Oct 28, 2022","32,204.31","32,889.81","32,158.38","32,861.80","32,861.80","495,830,000"
"Oct 27, 2022","32,062.14","32,388.42","31,993.21","32,033.28","32,033.28","375,720,000"
"Oct 26, 2022","31,738.44","32,172.42","31,738.44","31,839.11","31,839.11","430,400,000"
"Oct 25, 2022","31,463.65","31,876.15","31,423.53","31,836.74","31,836.74","336,930,000"
"Oct 24, 2022","31,187.32","31,603.63","31,161.41","31,499.62","31,499.62","345,040,000"
"Oct 21, 2022","30,291.18","31,119.27","30,206.28","31,082.56","31,082.56","418,190,000"
"Oct 20, 2022","30,411.92","30,822.96","30,265.20","30,333.59","30,333.59","333,190,000"
"Oct 19, 2022","30,439.04","30,662.11","30,226.90","30,423.81","30,423.81","314,030,000"
"Oct 18, 2022","30,697.52","30,837.90","30,301.83","30,523.80","30,523.80","387,130,000"
"Oct 17, 2022","30,059.58","30,311.95","29,997.62","30,185.82","30,185.82","369,820,000"
"Oct 14, 2022","30,192.21","30,428.82","29,614.30","29,634.83","29,634.83","379,090,000"
"Oct 13, 2022","28,755.83","30,168.54","28,660.94","30,038.72","30,038.72","470,260,000"
"Oct 12, 2022","29,233.06","29,455.12","29,136.03","29,210.85","29,210.85","304,420,000"
"Oct 11, 2022","29,085.20","29,608.42","29,074.23","29,239.19","29,239.19","352,920,000"
"Oct 10, 2022","29,419.09","29,485.82","29,010.41","29,202.88","29,202.88","315,410,000"
"Oct 07, 2022","29,685.27","29,685.27","29,142.66","29,296.79","29,296.79","367,950,000"
"Oct 06, 2022","30,206.13","30,329.61","29,859.34","29,926.94","29,926.94","306,840,000"
"Oct 05, 2022","30,078.36","30,454.46","29,886.44","30,273.87","30,273.87","290,610,000"
"Oct 04, 2022","29,826.67","30,325.05","29,826.67","30,316.32","30,316.32","375,640,000"
"Oct 03, 2022","28,855.25","29,647.79","28,855.25","29,490.89","29,490.89","397,830,000"
"Sep 30, 2022","29,123.03","29,355.78","28,715.85","28,725.51","28,725.51","464,260,000"
"Sep 29, 2022","29,513.73","29,513.73","28,997.34","29,225.61","29,225.61","388,820,000"
"Sep 28, 2022","29,198.92","29,811.78","29,114.97","29,683.74","29,683.74","436,040,000"
"Sep 27, 2022","29,419.88","29,659.12","28,958.22","29,134.99","29,134.99","355,460,000"
"Sep 26, 2022","29,536.84","29,630.77","29,161.12","29,260.81","29,260.81","369,450,000"
"Sep 23, 2022","29,955.65","29,955.65","29,250.47","29,590.41","29,590.41","388,200,000"
"Sep 22, 2022","30,204.52","30,302.28","29,994.53","30,076.68","30,076.68","335,270,000"
"Sep 21, 2022","30,819.39","31,020.79","30,181.99","30,183.78","30,183.78","354,960,000"
"Sep 20, 2022","30,888.53","30,888.53","30,465.91","30,706.23","30,706.23","317,970,000"
"Sep 19, 2022","30,722.86","31,026.89","30,559.37","31,019.68","31,019.68","291,200,000"
"Sep 16, 2022","30,866.61","30,866.61","30,550.08","30,822.42","30,822.42","627,920,000"
"Sep 15, 2022","31,124.68","31,277.69","30,882.08","30,961.82","30,961.82","345,500,000"
"Sep 14, 2022","31,141.02","31,276.82","30,885.02","31,135.09","31,135.09","348,670,000"
"Sep 13, 2022","32,006.50","32,006.50","31,018.54","31,104.97","31,104.97","428,930,000"
"Sep 12, 2022","32,159.49","32,504.04","32,159.49","32,381.34","32,381.34","339,250,000"
"Sep 09, 2022","31,876.22","32,227.74","31,876.22","32,151.71","32,151.71","310,980,000"
"Sep 08, 2022","31,481.95","31,783.37","31,321.50","31,774.52","31,774.52","344,340,000"
"Sep 07, 2022","31,145.63","31,644.34","31,095.21","31,581.28","31,581.28","345,080,000"
"Sep 06, 2022","31,343.79","31,463.89","31,048.46","31,145.30","31,145.30","347,320,000"
"Sep 02, 2022","31,848.50","32,026.90","31,182.09","31,318.44","31,318.44","306,180,000"
"Sep 01, 2022","31,454.58","31,677.51","31,219.75","31,656.42","31,656.42","339,360,000"
"Aug 31, 2022","31,827.15","31,966.04","31,509.59","31,510.43","31,510.43","392,780,000"
"Aug 30, 2022","32,163.84","32,205.66","31,647.22","31,790.87","31,790.87","317,150,000"
"Aug 29, 2022","32,188.00","32,325.16","31,972.79","32,098.99","32,098.99","317,820,000"
"Aug 26, 2022","33,293.43","33,364.70","32,278.22","32,283.40","32,283.40","352,850,000"
"Aug 25, 2022","33,029.27","33,306.09","32,889.85","33,291.78","33,291.78","308,530,000"
"Aug 24, 2022","32,899.01","33,095.50","32,828.56","32,969.23","32,969.23","256,900,000"
"Aug 23, 2022","33,033.52","33,138.26","32,858.89","32,909.59","32,909.59","251,870,000"
"Aug 22, 2022","33,586.59","33,586.59","33,007.63","33,063.61","33,063.61","308,900,000"
"Aug 19, 2022","33,904.69","33,904.69","33,627.09","33,706.74","33,706.74","293,990,000"
"Aug 18, 2022","33,981.86","34,043.83","33,844.46","33,999.04","33,999.04","282,550,000"
"Aug 17, 2022","34,029.55","34,161.01","33,828.41","33,980.32","33,980.32","281,390,000"
"Aug 16, 2022","33,924.35","34,281.36","33,852.57","34,152.01","34,152.01","288,670,000"
"Aug 15, 2022","33,710.70","33,954.71","33,582.96","33,912.44","33,912.44","262,670,000"
"Aug 12, 2022","33,430.72","33,767.09","33,398.32","33,761.05","33,761.05","299,140,000"
"Aug 11, 2022","33,451.51","33,651.80","33,289.83","33,336.67","33,336.67","308,030,000"
"Aug 10, 2022","33,130.63","33,364.41","33,130.63","33,309.51","33,309.51","311,740,000"
"Aug 09, 2022","32,807.36","32,877.53","32,702.66","32,774.41","32,774.41","281,080,000"
